Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
post-construction-renovation-cleanup,Post-Construction & Renovation Cleaning Services,<p>Complete cleanup and detailing services for construction sites renovation projects and new building preparation. Professional debris removal and final detailing.</p>,SuperwoMOM Cleaning,Services > Construction > Post-Construction,Services,"Post-Construction, Renovation, Construction, Cleanup, Debris",true,Service Type,Renovation Cleanup Basic,,,,,,,,PC_SERVICE_001,0.0,,deny,manual,200.00,,false,true,,https://burst.shopifycdn.com/photos/construction-cleanup-professional.jpg?width=1500,1,"",false,Post-Construction & Renovation Cleaning | SuperwoMOM Cleaning,Professional post-construction cleanup and renovation cleaning services,,g,,,active
post-construction-renovation-cleanup,,,,,,,,,Bathroom Renovation Detail,,,,,,,,PC_SERVICE_002,0.0,,deny,manual,400.00,,false,true,,,,,,,,,g,,,
post-construction-renovation-cleanup,,,,,,,,,Kitchen Renovation Complete,,,,,,,,PC_SERVICE_003,0.0,,deny,manual,750.00,,false,true,,,,,,,,,g,,,
post-construction-renovation-cleanup,,,,,,,,,Home Addition Cleanup,,,,,,,,PC_SERVICE_004,0.0,,deny,manual,1500.00,,false,true,,,,,,,,,g,,,
post-construction-renovation-cleanup,,,,,,,,,Commercial Renovation Clean,,,,,,,,PC_SERVICE_005,0.0,,deny,manual,2500.00,,false,true,,,,,,,,,g,,,
post-construction-renovation-cleanup,,,,,,,,,New Construction Prep,,,,,,,,PC_SERVICE_006,0.0,,deny,manual,4000.00,,false,true,,,,,,,,,g,,,
post-construction-renovation-cleanup,,,,,,,,,Office Building Construction,,,,,,,,PC_SERVICE_007,0.0,,deny,manual,8000.00,,false,true,,,,,,,,,g,,,
post-construction-renovation-cleanup,,,,,,,,,Retail Space Grand Opening,,,,,,,,PC_SERVICE_008,0.0,,deny,manual,12000.00,,false,true,,,,,,,,,g,,,
post-construction-renovation-cleanup,,,,,,,,,Hospital Construction Cleanup,,,,,,,,PC_SERVICE_009,0.0,,deny,manual,18000.00,,false,true,,,,,,,,,g,,,
post-construction-renovation-cleanup,,,,,,,,,Large Commercial Complex,,,,,,,,PC_SERVICE_010,0.0,,deny,manual,25000.00,,false,true,,,,,,,,,g,,,
