Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
commercial-office-cleaning,Commercial & Office Cleaning Services,<p>Professional cleaning services for offices retail spaces and corporate facilities with flexible scheduling and comprehensive service options. Nationwide coverage with 24/7 emergency support.</p>,SuperwoMOM Cleaning,Services > Business & Industrial > Cleaning Services,Services,"Commercial, Office, Cleaning, Professional, Nationwide",true,Service Type,Small Office Weekly Clean,,,,,,,,COM_SERVICE_001,0.0,,deny,manual,25.00,,false,true,,https://burst.shopifycdn.com/photos/office-cleaning-professional.jpg?width=1500,1,"",false,Commercial & Office Cleaning Services | SuperwoMOM Cleaning,Professional commercial and office cleaning services nationwide,,g,,,active
commercial-office-cleaning,,,,,,,,,Medical Practice Standard Clean,,,,,,,,COM_SERVICE_002,0.0,,deny,manual,75.00,,false,true,,,,,,,,,g,,,
commercial-office-cleaning,,,,,,,,,Law Office Professional Clean,,,,,,,,COM_SERVICE_003,0.0,,deny,manual,150.00,,false,true,,,,,,,,,g,,,
commercial-office-cleaning,,,,,,,,,Retail Store Daily Clean,,,,,,,,COM_SERVICE_004,0.0,,deny,manual,200.00,,false,true,,,,,,,,,g,,,
commercial-office-cleaning,,,,,,,,,Corporate Office Monthly Deep Clean,,,,,,,,COM_SERVICE_005,0.0,,deny,manual,400.00,,false,true,,,,,,,,,g,,,
commercial-office-cleaning,,,,,,,,,Professional Office Weekly Service,,,,,,,,COM_SERVICE_006,0.0,,deny,manual,650.00,,false,true,,,,,,,,,g,,,
commercial-office-cleaning,,,,,,,,,Enterprise Office Daily Service,,,,,,,,COM_SERVICE_007,0.0,,deny,manual,1200.00,,false,true,,,,,,,,,g,,,
commercial-office-cleaning,,,,,,,,,Corporate Headquarters Full Service,,,,,,,,COM_SERVICE_008,0.0,,deny,manual,2500.00,,false,true,,,,,,,,,g,,,
commercial-office-cleaning,,,,,,,,,Enterprise Campus Management,,,,,,,,COM_SERVICE_009,0.0,,deny,manual,5000.00,,false,true,,,,,,,,,g,,,
industrial-warehouse-cleaning,Industrial & Warehouse Cleaning Services,<p>Specialized cleaning for manufacturing sites storage facilities and logistics centers with heavy-duty equipment and safety protocols. Regulatory compliance and environmental standards.</p>,SuperwoMOM Cleaning,Services > Business & Industrial > Cleaning Services,Services,"Industrial, Warehouse, Manufacturing, Specialized, Safety",true,Service Type,Small Warehouse Basic Clean,,,,,,,,IND_SERVICE_001,0.0,,deny,manual,150.00,,false,true,,https://burst.shopifycdn.com/photos/industrial-warehouse-cleaning.jpg?width=1500,1,"",false,Industrial & Warehouse Cleaning Services | SuperwoMOM Cleaning,Specialized industrial and warehouse cleaning services with safety protocols,,g,,,active
industrial-warehouse-cleaning,,,,,,,,,Workshop Floor Deep Clean,,,,,,,,IND_SERVICE_002,0.0,,deny,manual,300.00,,false,true,,,,,,,,,g,,,
industrial-warehouse-cleaning,,,,,,,,,Storage Facility Monthly Service,,,,,,,,IND_SERVICE_003,0.0,,deny,manual,500.00,,false,true,,,,,,,,,g,,,
industrial-warehouse-cleaning,,,,,,,,,Production Floor Weekly Clean,,,,,,,,IND_SERVICE_004,0.0,,deny,manual,750.00,,false,true,,,,,,,,,g,,,
industrial-warehouse-cleaning,,,,,,,,,Industrial Kitchen Deep Clean,,,,,,,,IND_SERVICE_005,0.0,,deny,manual,1200.00,,false,true,,,,,,,,,g,,,
industrial-warehouse-cleaning,,,,,,,,,Manufacturing Plant Comprehensive,,,,,,,,IND_SERVICE_006,0.0,,deny,manual,2000.00,,false,true,,,,,,,,,g,,,
industrial-warehouse-cleaning,,,,,,,,,Logistics Center Full Service,,,,,,,,IND_SERVICE_007,0.0,,deny,manual,3500.00,,false,true,,,,,,,,,g,,,
industrial-warehouse-cleaning,,,,,,,,,Heavy Industry Specialized Clean,,,,,,,,IND_SERVICE_008,0.0,,deny,manual,7500.00,,false,true,,,,,,,,,g,,,
industrial-warehouse-cleaning,,,,,,,,,Manufacturing Campus Management,,,,,,,,IND_SERVICE_009,0.0,,deny,manual,15000.00,,false,true,,,,,,,,,g,,,
